user,oldPrincipalUsd,cmsAmountUsd,finalPrincipalUsd,skippedReason
0x91e35f0260a37ddd5a739c9a043ba771d406be1a,0.0,0.0,0.0,zero-principal
0x93185be842ce1d9a698f2c07c4138ebc2e3dfd07,0.0,0.0,0.0,zero-principal
0x931ff6c169109eda441405882bf76f37d359e027,0.0,0.0,0.0,zero-principal
0x94552576ff6c7dbb2c5b6d3f14f9ce4938f56674,0.0,0.0,0.0,zero-principal
0x9477807e39a77115dbdb00f29b7d3ee59b353997,0.0,0.0,0.0,zero-principal
0x949b6c216d1818429e9d5f1bdc0893efc7ce51ae,0.0,0.0,0.0,zero-principal
0x9541b5b49c1801147852dc4838c971759e4106c3,0.0,0.0,0.0,zero-principal
0x95cc95891d959b77ad35a886032e28c1fe44cb92,0.0,0.0,0.0,zero-principal
0x95f8441e65274a79370320d02b901259b38fb139,0.0,0.0,0.0,zero-principal
0x960dfff626c1cc5b58865a03430a23236c549739,0.0,0.0,0.0,zero-principal
0x96494f66acc0809de4e61c15d9003f796fdaad13,0.0,0.0,0.0,zero-principal
0x98da6c2042856d712a695a425c06a5fdd3de0bb7,0.0,0.0,0.0,zero-principal
0x99dd679322ba9ddaeaede747145ae595afab9e13,0.0,0.0,0.0,zero-principal
0x9a3b9239db3df842abb7fea411092c18ac4d98a4,0.0,0.0,0.0,zero-principal
0x9a4abd8f390d740254b0155ed62334a10d034b5a,0.0,0.0,0.0,zero-principal
0x9a5aa20e7259a2b893948734012f4de94318d29c,0.0,0.0,0.0,zero-principal
0x9af7a94a4e666fda57ac27d437890e9b2d567b10,0.0,0.0,0.0,zero-principal
0x9cfe7eefa15b09692c6f6bcdf660b80cbc7039e2,0.0,0.0,0.0,zero-principal
0x9decedf9d33565d701690f496afb7deece263f2b,0.0,0.0,0.0,zero-principal
0x9eae2e5951d116b2b4d7a46fedfe99f130002d6c,0.0,0.0,0.0,zero-principal
0x9f3cdf9b66223abdf0dbe0c2a105fdbb78807c06,0.0,0.0,0.0,zero-principal
0xa01d5e644ee6344505192c4176892fc0d03069d7,0.0,0.0,0.0,zero-principal
0xa024af0104cee7b2368c51f46535bfa9de226e36,0.0,0.0,0.0,zero-principal
0xa1616edde07d8014ee2fd393e9c24431408c5ddc,0.0,0.0,0.0,zero-principal
0xa232092a7da5f22f6710390e0b398ba423e82fe7,0.0,0.0,0.0,zero-principal
0xa31575065f80da8f93b9fb3a79279fc1dfc8f75c,0.0,0.0,0.0,zero-principal
0xa3c9f8c978e0cf75bfb2048b41a7b010f3b476ff,0.0,0.0,0.0,zero-principal
0xa478fe24c6bb48d7abfd16ed870ebbe6e5ce7a45,0.0,0.0,0.0,zero-principal
0xa59987445bc02bd948908eb72943cffba7ca556e,0.0,0.0,0.0,zero-principal
0xa626cbc20913401f84387a5b2e58f879ae368f77,0.0,0.0,0.0,zero-principal
0xa7c05576ca48dd98956c28415d8cc25d340b9d83,0.0,0.0,0.0,zero-principal
0xa7d7a94369111dcd63541fefaa47e08cbeae7643,0.0,0.0,0.0,zero-principal
0xa8b957c92bf07451e098f516ef044a864c302c5d,0.0,0.0,0.0,zero-principal
0xa9142da4b6a150d800f193e1450f5721df7f8f7d,0.0,0.0,0.0,zero-principal
0xaa33edcce2e6baed863e4c8135158963103647a6,0.0,0.0,0.0,zero-principal
0xaad995c617dc346be327e98b8fd0755043539be3,0.0,0.0,0.0,zero-principal
0xaada12d9893b8fb85870374b4d0f84663b5afe2c,0.0,0.0,0.0,zero-principal
0xaaf596b51123e658fff92bbc9608f52d2c3f1390,0.0,0.0,0.0,zero-principal
0xab77ca425151b551974198daa51da1bc70e66007,0.0,0.0,0.0,zero-principal
0xac4525969e5e1f29784be6ffeef65c69ba5641a0,0.0,0.0,0.0,zero-principal
0xad408285436172729d784a08048b882cd42a534e,0.0,0.0,0.0,zero-principal
0xad7b402ab1d4f95b64fa77641b858dd8d1937783,0.0,0.0,0.0,zero-principal
0xadbba225499273e39d560abb62a38abf3a71f745,0.0,0.0,0.0,zero-principal
